Id2,Geography,Age,2015,2020,2025,2030,,,,,,,,,
27051,Grant,65 to 74, 209 , 230 , 247 , 234 ,,,,,,,,,
27051,Grant,75+, 60 , 65 , 74 , 83 ,,,,,,,,,
27053,Hennepin,16 to 19," 27,063 "," 31,495 "," 34,015 "," 36,865 ",,,,,,,,,
27053,Hennepin,20 to 24," 64,429 "," 63,868 "," 74,413 "," 80,007 ",,,,,,,,,
27053,Hennepin,25 to 29," 95,800 "," 95,739 "," 96,230 "," 108,680 ",,,,,,,,,
27053,Hennepin,30 to 34," 87,857 "," 81,531 "," 81,317 "," 80,953 ",,,,,,,,,
27053,Hennepin,35 to 44," 140,422 "," 147,528 "," 143,794 "," 135,629 ",,,,,,,,,
27053,Hennepin,45 to 54," 141,170 "," 138,156 "," 144,689 "," 152,164 ",,,,,,,,,
27053,Hennepin,55 to 59," 66,929 "," 70,122 "," 66,306 "," 67,605 ",,,,,,,,,
27053,Hennepin,60 to 64," 47,090 "," 51,524 "," 54,207 "," 51,076 ",,,,,,,,,
27053,Hennepin,65 to 74," 28,142 "," 36,561 "," 42,521 "," 45,490 ",,,,,,,,,
27053,Hennepin,75+," 4,533 "," 4,781 "," 5,350 "," 6,460 ",,,,,,,,,
27055,Houston,16 to 19, 517 , 597 , 546 , 444 ,,,,,,,,,
27055,Houston,20 to 24, 933 ," 1,160 "," 1,308 "," 1,204 ",,,,,,,,,
27055,Houston,25 to 29, 720 , 715 , 944 ," 1,089 ",,,,,,,,,
27055,Houston,30 to 34, 904 , 689 , 685 , 904 ,,,,,,,,,
27055,Houston,35 to 44," 1,851 "," 1,783 "," 1,566 "," 1,347 ",,,,,,,,,
27055,Houston,45 to 54," 2,353 "," 1,862 "," 1,706 "," 1,635 ",,,,,,,,,
27055,Houston,55 to 59," 1,375 "," 1,227 ", 862 , 775 ,,,,,,,,,
27055,Houston,60 to 64, 922 ," 1,028 ", 917 , 642 ,,,,,,,,,
27055,Houston,65 to 74, 532 , 664 , 771 , 764 ,,,,,,,,,
27055,Houston,75+, 109 , 118 , 139 , 168 ,,,,,,,,,
27057,Hubbard,16 to 19, 520 , 580 , 624 , 561 ,,,,,,,,,
27057,Hubbard,20 to 24, 787 ," 1,082 "," 1,197 "," 1,281 ",,,,,,,,,
27057,Hubbard,25 to 29, 658 , 663 , 935 ," 1,040 ",,,,,,,,,
27057,Hubbard,30 to 34, 875 , 708 , 712 ," 1,010 ",,,,,,,,,
27057,Hubbard,35 to 44," 1,759 "," 1,725 "," 1,582 "," 1,418 ",,,,,,,,,
27057,Hubbard,45 to 54," 2,344 "," 1,859 "," 1,690 "," 1,654 ",,,,,,,,,
27057,Hubbard,55 to 59," 1,268 "," 1,203 ", 868 , 766 ,,,,,,,,,
27057,Hubbard,60 to 64, 886 , 858 , 814 , 587 ,,,,,,,,,
27057,Hubbard,65 to 74, 601 , 677 , 686 , 657 ,,,,,,,,,
27057,Hubbard,75+, 134 , 174 , 219 , 254 ,,,,,,,,,
27059,Isanti,16 to 19," 1,151 "," 1,263 "," 1,236 "," 1,038 ",,,,,,,,,
27059,Isanti,20 to 24," 1,875 "," 2,464 "," 2,663 "," 2,596 ",,,,,,,,,
27059,Isanti,25 to 29," 1,941 "," 1,822 "," 2,451 "," 2,651 ",,,,,,,,,
27059,Isanti,30 to 34," 2,192 "," 1,895 "," 1,767 "," 2,382 ",,,,,,,,,
27059,Isanti,35 to 44," 4,198 "," 4,150 "," 3,913 "," 3,461 ",,,,,,,,,
27059,Isanti,45 to 54," 5,073 "," 4,307 "," 3,965 "," 3,876 ",,,,,,,,,
